feature_path,label,source
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000000.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000001.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000002.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000003.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000004.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000005.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000006.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000007.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000008.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_beatoven_000009.npy,1,external_beatoven
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000010.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000011.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000012.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000013.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000014.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000015.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000016.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000017.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000018.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_boomy_000019.npy,1,external_boomy
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000020.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000021.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000022.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000023.npy,1,external_jenmusic
